Country,Region,Income_Level,Year,TB_Cases,TB_Deaths,TB_Incidence_Rate,TB_Mortality_Rate,TB_Treatment_Success_Rate,Drug_Resistant_TB_Cases,HIV_CoInfected_TB_Cases,Population,GDP_Per_Capita,Health_Expenditure_Per_Capita,Urban_Population_Percentage,Malnutrition_Prevalence,Smoking_Prevalence,TB_Doctors_Per_100K,TB_Hospitals_Per_Million,Access_To_Health_Services,BCG_Vaccination_Coverage,HIV_Testing_Coverage
USA,North America,Low,2006,33349,7646,88.82,15.36,61.55,3634,3811,613129495,2014,3159,81.36,9.95,30.8,2.6,4.1,81.09,65.27,26.54
Indonesia,Africa,High,2023,39546,7290,320.0,16.82,91.22,1070,7067,633453109,15951,6103,43.81,49.55,7.76,2.09,13.16,83.39,53.83,38.24
China,Africa,Upper-Middle,2015,16578,4992,35.71,4.23,72.5,391,7520,1360710664,38204,5054,58.01,34.5,38.65,7.1,9.58,46.63,93.16,28.1
China,North America,Upper-Middle,2000,23883,3288,153.7,31.14,80.13,1142,8109,1084497325,52586,5806,58.69,49.2,38.16,8.22,18.66,66.29,65.21,37.69
Indonesia,South America,High,2011,16036,1650,461.37,42.61,62.64,2486,6091,1248631187,48893,7495,67.98,26.76,29.91,7.23,3.64,66.37,61.29,21.72
South Africa,Europe,High,2001,7910,5750,94.15,18.29,73.53,3145,3637,470641044,59427,334,68.14,22.78,23.11,6.47,14.38,91.0,85.8,44.55
USA,Asia,Low,2006,16426,6121,41.98,12.77,65.75,2848,4390,804590145,17382,2463,75.29,16.12,13.77,3.15,13.79,31.79,59.77,34.94
Pakistan,South America,Lower-Middle,2010,48768,759,227.4,47.87,64.45,2089,5389,711256855,11933,1693,21.75,49.26,31.47,7.14,19.68,52.18,61.77,82.45
Bangladesh,North America,Upper-Middle,2012,34748,3021,426.8,37.51,61.11,954,2552,1139275080,1869,7285,86.06,16.4,35.73,6.09,11.52,91.77,55.08,80.07
South Africa,Asia,Lower-Middle,2001,31659,843,47.57,28.79,68.41,3972,4460,1209228518,14568,9369,24.9,6.07,28.28,0.56,17.5,46.58,97.18,41.03
Bangladesh,Africa,Lower-Middle,2006,42539,3149,184.21,15.97,79.7,4211,6970,504807033,59095,9511,53.33,28.06,27.02,9.09,0.98,39.58,62.13,53.28
Bangladesh,Europe,High,2014,36866,6080,450.89,11.82,59.99,2539,209,1088106,42158,6385,84.37,21.97,11.76,0.89,2.9,70.33,98.79,86.91
South Africa,Africa,Lower-Middle,2024,48300,5815,67.9,36.07,93.44,4311,7006,217262252,8616,693,54.14,16.76,17.52,5.08,7.25,51.41,58.63,56.69
India,North America,Low,2010,41261,76,162.23,26.57,55.61,3328,2193,743574717,44187,7361,24.45,33.56,30.31,5.18,12.58,62.71,51.01,79.39
Brazil,Asia,High,2001,29590,6743,391.43,26.51,71.61,844,5053,1342168084,27326,8267,36.05,21.39,5.59,8.39,9.26,87.4,93.89,77.85
Bangladesh,North America,Lower-Middle,2006,21067,5372,276.17,4.61,53.83,3760,4046,408060368,43953,3987,60.51,23.1,27.44,9.14,4.45,66.45,78.42,85.89
South Africa,Asia,High,2003,44163,8326,417.84,26.1,51.02,4194,5022,258744511,31737,4857,26.15,6.04,31.83,9.4,11.99,66.11,67.22,41.4
South Africa,South America,Low,2010,15867,6001,64.68,41.31,91.52,3397,7844,1127499716,57975,6386,49.66,31.51,16.71,5.74,11.55,49.47,75.15,23.04
Russia,Europe,Low,2001,40912,3151,461.07,47.39,86.47,4248,3503,519505669,5864,6574,43.04,10.49,7.67,6.82,10.73,85.5,62.78,27.28
India,South America,Lower-Middle,2015,45216,6659,468.11,6.23,81.24,216,3982,468863753,590,1075,77.06,14.62,33.67,0.98,2.27,81.79,81.1,59.99
Nigeria,South America,High,2006,35867,9364,86.1,31.93,88.93,3544,9566,350636799,12586,5772,27.71,37.27,9.96,4.93,18.58,46.39,80.21,57.12
Russia,North America,Lower-Middle,2012,6313,5359,26.6,28.85,86.13,2062,1862,877715713,11889,1118,67.8,19.1,17.98,8.99,12.05,52.4,53.93,40.89
Russia,Europe,Lower-Middle,2004,37121,61,495.02,44.63,79.13,4316,8589,656307078,17355,9180,48.46,12.34,29.75,4.61,5.65,85.2,94.62,37.41
Indonesia,Asia,High,2016,34769,7820,246.3,37.81,88.13,38,1672,1280482605,39352,4148,61.14,30.98,33.59,0.79,13.9,55.04,72.57,69.66
Brazil,Asia,Lower-Middle,2020,41690,9990,290.32,48.3,67.59,1223,7599,161067940,42725,8065,34.39,14.67,35.18,2.09,6.7,58.25,59.56,43.84
South Africa,Africa,Low,2011,40818,5463,311.79,48.04,74.87,197,222,1267088530,27884,9714,62.68,17.19,23.56,4.35,10.36,55.51,65.06,62.28
Brazil,Asia,High,2018,37518,5824,396.94,12.06,84.93,1870,4665,1316236340,54134,225,67.18,32.96,21.66,2.45,7.15,41.31,92.44,69.86
USA,North America,High,2006,40259,229,407.87,36.54,53.82,2582,8759,842471259,54778,8145,24.92,38.29,34.69,3.98,17.67,53.86,68.78,50.13
Indonesia,South America,High,2005,16998,846,105.02,27.0,88.64,4024,3129,115440659,1611,1193,77.7,38.28,24.71,3.4,19.88,86.21,77.54,33.54
Nigeria,South America,High,2007,26489,7329,125.95,11.52,57.06,4262,6655,674574621,33865,5943,80.29,26.7,25.25,3.26,3.64,64.38,96.44,80.25
Brazil,South America,Lower-Middle,2012,37674,7238,439.65,10.55,88.9,2137,2701,339312485,58751,7391,24.45,25.44,20.19,1.0,0.96,62.08,81.93,26.55
China,Europe,Lower-Middle,2004,26068,7362,411.56,4.97,64.01,1901,2004,831313537,11908,3560,62.22,40.44,18.05,8.84,4.78,40.94,83.11,78.06
Bangladesh,Asia,Low,2001,1541,2074,312.63,39.98,64.71,2717,5058,1080005378,24502,4112,61.58,13.69,21.82,6.96,12.0,42.43,62.18,78.57
USA,North America,Upper-Middle,2008,40195,7716,497.4,16.9,53.33,1751,484,954110574,18238,7847,20.87,11.85,17.77,6.27,3.89,33.01,82.75,59.97
India,Europe,Upper-Middle,2010,49663,3267,370.24,42.99,89.87,2683,9969,247981993,41145,1000,43.96,34.91,17.02,6.1,16.32,30.98,69.3,64.06
Nigeria,Africa,Low,2023,30599,6634,115.76,30.81,57.85,1823,8243,1205329456,12638,4486,87.82,23.43,39.78,4.03,8.47,64.16,94.64,45.06
USA,North America,Upper-Middle,2005,24864,9128,424.86,34.01,78.35,4337,4002,542228902,11927,2794,58.88,36.95,16.77,8.25,12.41,58.65,56.35,78.91
Bangladesh,North America,Low,2006,41139,5335,213.22,15.29,78.98,169,4833,48991320,11396,8362,85.32,16.55,13.97,9.31,9.38,49.28,64.0,38.46
Indonesia,North America,Lower-Middle,2024,39643,7420,27.71,23.41,62.65,353,3527,378570881,2889,4720,67.3,19.62,17.39,0.16,18.11,99.3,53.23,59.18
Bangladesh,South America,High,2006,23982,1569,167.5,21.2,94.35,214,2278,1250497934,15860,1970,21.99,45.35,25.68,0.88,1.19,57.86,68.66,20.13
Russia,North America,High,2018,4176,6661,384.14,12.55,52.89,3052,9846,214177922,37343,9926,25.44,23.97,36.88,6.78,14.72,85.22,57.27,85.79
Bangladesh,Asia,Lower-Middle,2005,46285,6906,480.5,41.79,77.35,2895,949,986854660,28726,5662,70.55,31.59,32.58,2.44,13.22,44.74,91.41,86.38
Russia,North America,High,2010,22281,2482,145.31,31.48,71.58,314,4448,1337077557,17347,6469,58.82,9.8,34.48,9.13,13.17,47.29,95.33,69.73
Indonesia,South America,High,2010,30548,6507,130.79,2.83,61.05,2727,6308,610501991,48065,9210,28.9,13.05,35.07,6.71,8.57,69.79,82.8,49.63
Pakistan,North America,Upper-Middle,2006,3565,4916,286.17,41.18,57.36,3951,2995,281341091,17956,6222,62.98,6.61,37.22,3.75,0.81,30.28,55.06,32.5
Russia,Africa,Lower-Middle,2001,2536,5104,407.73,6.2,83.17,409,4999,545579698,5946,5980,76.72,24.1,13.23,4.21,13.94,31.22,66.74,54.47
India,Africa,Upper-Middle,2018,36314,9158,375.8,20.78,91.23,3530,6038,513471670,17357,3858,72.71,49.5,21.04,6.94,16.67,39.96,97.26,75.4
Bangladesh,South America,Upper-Middle,2003,17424,2120,284.38,28.99,54.84,995,9566,134169125,38251,4788,37.23,44.32,18.48,1.5,2.16,45.62,56.68,62.37
Bangladesh,Asia,High,2005,33344,1831,319.38,1.37,58.73,1815,9052,774894340,34206,6545,38.07,33.48,18.37,8.85,9.11,66.95,77.27,56.92
India,Asia,High,2016,49148,8580,128.63,32.99,94.38,2106,8432,265576997,15203,1154,87.75,43.75,27.83,0.15,3.67,78.04,67.29,79.46
China,Europe,Lower-Middle,2024,16907,1566,221.96,33.33,50.68,4311,2509,56028392,18194,4439,82.12,31.74,19.06,9.79,12.41,51.83,98.96,41.92
South Africa,South America,High,2004,22018,5541,135.13,32.97,72.87,1469,7630,563849193,40459,3934,42.28,21.59,26.57,1.76,15.82,46.73,63.98,80.2
Pakistan,North America,High,2006,17559,9156,443.36,9.01,73.23,1355,4314,1161196382,15558,782,77.68,12.81,18.38,7.45,13.5,87.6,52.34,50.76
Nigeria,South America,Lower-Middle,2008,23552,5999,65.15,13.53,61.84,240,2913,1199687776,51992,1631,31.32,34.39,15.89,0.5,6.7,41.39,84.41,20.17
Russia,Europe,High,2024,4767,3340,343.07,13.12,79.84,3792,7773,1265567013,53172,3729,33.78,13.69,17.36,4.37,3.22,77.48,66.01,71.24
India,South America,Upper-Middle,2000,6488,4620,137.54,48.04,92.52,3510,7974,695986434,4556,3902,32.68,23.78,33.13,6.34,15.99,95.19,82.22,81.45
Indonesia,South America,Lower-Middle,2000,28474,9688,243.03,4.31,70.26,892,9440,1271831397,50738,2477,26.14,42.16,26.04,0.8,6.82,46.25,55.13,53.91
Russia,Europe,High,2018,24536,1429,156.71,22.01,83.72,2783,2084,1168748542,13355,373,79.83,10.82,39.09,4.49,0.93,36.09,75.63,51.83
South Africa,Asia,Low,2005,9180,9725,168.39,43.69,79.07,2341,7835,1206866909,57349,3749,60.52,10.81,34.14,3.1,11.64,98.58,68.39,76.38
Indonesia,North America,Lower-Middle,2017,1985,7720,137.59,38.7,71.28,442,2075,529683438,23988,5231,38.13,15.1,22.0,5.03,5.31,48.95,76.3,81.93
USA,Europe,Lower-Middle,2009,15213,850,378.87,41.3,52.24,1218,8831,991156565,16272,7363,79.41,29.84,13.48,5.1,16.9,49.3,91.82,88.21
Bangladesh,Africa,Low,2010,20543,9488,189.2,48.64,83.38,2690,3218,752471711,23616,8603,76.19,16.33,28.59,7.87,3.29,63.86,97.66,44.2
USA,Asia,High,2000,2919,5317,365.91,19.98,66.35,2273,4684,706243006,33527,2150,27.07,27.64,30.43,1.32,8.98,46.17,86.9,61.63
Russia,Africa,High,2000,48580,3545,233.47,16.17,60.1,3012,9104,189974396,2156,2804,65.09,18.59,21.25,0.92,5.44,99.5,87.58,77.6
South Africa,Asia,Lower-Middle,2012,36763,3307,278.15,2.5,92.67,2422,9255,1009194079,44415,1522,70.53,27.78,13.05,4.08,13.95,33.01,75.92,57.23
Pakistan,North America,Lower-Middle,2004,17640,6608,276.21,8.35,84.81,1827,132,200378307,29355,1156,70.11,17.49,24.5,8.89,11.2,61.6,54.77,52.33
Russia,North America,High,2019,43984,1031,488.17,28.54,93.3,627,966,506286727,44579,1853,70.62,49.1,13.88,8.57,15.92,68.38,82.69,60.04
India,South America,High,2000,45710,2138,189.86,8.73,61.53,4502,5106,617395283,39558,8322,31.86,27.17,37.9,5.64,9.44,62.69,57.24,44.98
Brazil,Africa,Upper-Middle,2019,13461,3002,111.77,37.08,87.61,2515,996,1278405422,6413,6707,42.06,38.46,27.01,8.9,0.59,66.44,62.04,33.45
Russia,Asia,Lower-Middle,2002,43575,9253,456.78,2.82,77.35,327,9453,506858758,8473,6956,79.09,36.52,15.22,8.07,4.7,99.13,84.67,24.66
Bangladesh,North America,Lower-Middle,2017,6987,2176,95.67,13.71,94.17,466,4443,318551168,17475,5405,82.89,27.08,12.55,2.85,19.98,91.38,82.19,62.7
Bangladesh,Europe,Low,2008,31610,4862,418.87,35.08,92.58,510,1000,391966971,55519,3038,39.54,15.75,30.09,1.78,8.4,51.59,65.4,46.54
Russia,North America,Upper-Middle,2013,42932,8113,83.61,13.52,93.78,4428,7935,1282888968,42892,7254,21.61,27.98,29.77,3.08,12.59,68.6,87.83,81.81
Indonesia,Europe,High,2016,16860,3911,332.77,36.71,92.83,2325,5566,791095382,13805,5826,80.18,35.64,25.9,2.35,18.15,30.02,96.03,35.61
Brazil,Asia,Upper-Middle,2022,49910,5953,83.76,49.8,50.34,3884,9103,709607129,11179,8566,46.4,25.7,26.5,6.26,0.9,58.67,76.72,41.75
India,North America,High,2013,37343,2641,462.31,40.06,83.35,4983,6835,947182733,22461,2411,43.06,8.69,26.14,5.89,13.36,41.47,83.21,87.94
Russia,North America,High,2003,25382,9715,286.85,17.75,62.24,4784,4719,902195965,728,1284,44.29,5.81,17.6,6.02,6.12,79.8,63.32,58.94
Indonesia,Asia,Upper-Middle,2004,18002,9407,171.34,45.13,81.73,1013,7983,1376605547,16143,152,49.1,19.75,37.81,1.97,5.95,45.48,97.57,44.27
Bangladesh,North America,Lower-Middle,2020,48553,3372,78.76,3.51,94.13,4260,3590,714886873,27855,4962,46.48,11.76,21.77,7.94,4.88,82.42,63.41,80.26
Bangladesh,Europe,High,2016,8131,6487,191.88,36.53,51.77,4206,2812,1214596662,42828,796,59.65,45.78,5.71,4.39,16.54,51.92,93.48,72.04
South Africa,North America,Upper-Middle,2021,3517,8851,355.46,2.14,75.51,1076,2214,618452882,18508,4958,25.53,12.91,17.19,4.78,7.77,94.81,95.47,60.12
Russia,Africa,Low,2024,21225,2911,198.63,9.55,83.07,4726,881,1270237733,23974,3741,88.01,22.74,9.56,9.97,1.81,61.18,85.26,82.24
Brazil,South America,Upper-Middle,2001,25262,1705,130.59,49.39,61.4,1638,2834,535308356,4479,9489,85.55,37.04,17.72,2.89,2.39,88.77,89.77,26.58
China,Europe,Low,2022,1284,1805,292.93,18.68,60.13,3244,6105,706670008,46843,3114,85.41,41.69,26.29,4.0,3.4,73.97,72.43,47.61
Brazil,Africa,High,2021,28520,8287,214.73,41.2,52.72,2291,3413,1140510306,1239,5462,81.55,26.5,5.79,6.8,18.03,98.42,95.06,76.74
Bangladesh,Asia,Upper-Middle,2004,38959,9501,91.25,19.43,54.23,4508,6163,944170319,39789,1769,66.22,13.15,35.46,8.82,8.84,81.99,86.39,47.02
Bangladesh,Europe,Upper-Middle,2003,16265,6277,85.45,42.16,79.55,2408,5560,398222558,20058,2252,35.48,17.19,26.36,1.36,18.36,80.94,66.01,84.87
USA,South America,Low,2003,31627,4688,356.66,48.31,72.73,3248,3892,208203025,38317,5201,23.46,23.85,15.34,7.38,16.44,48.54,51.71,30.68
Bangladesh,South America,Upper-Middle,2005,3696,9693,487.59,22.34,51.35,4364,3217,1029631053,52299,6076,26.95,21.41,15.89,9.19,16.84,65.34,76.5,43.56
India,Asia,Upper-Middle,2019,10052,2617,124.22,28.41,93.63,3679,3107,952257624,27146,7787,42.68,20.69,21.3,4.29,6.09,50.31,91.19,49.8
Nigeria,Asia,High,2020,41800,3173,388.84,31.8,79.52,4725,3088,2053518,56088,5502,55.27,10.93,13.68,2.94,5.79,31.35,92.17,68.09
Russia,Europe,Upper-Middle,2012,32421,5214,52.93,46.81,73.2,1475,2648,1301727037,38654,7234,89.53,46.1,5.15,6.81,11.42,79.74,90.92,33.67
Brazil,North America,Lower-Middle,2021,5246,7131,196.97,13.58,62.27,1971,5561,287886883,32772,1839,50.48,6.34,5.93,2.54,8.65,46.51,60.52,20.69
Nigeria,Asia,Low,2004,3499,4957,258.28,30.95,79.61,885,2956,1386700554,37839,309,56.73,24.8,17.52,3.9,10.43,57.81,70.88,88.36
Indonesia,North America,Upper-Middle,2022,44570,9730,141.69,16.91,66.39,4079,3481,1165356708,48555,1968,68.66,49.11,9.35,8.98,1.54,49.92,80.08,82.91
China,Africa,Low,2024,49720,9815,269.49,11.63,81.61,3911,4312,849704872,14760,6554,32.65,34.69,5.78,5.94,19.45,43.97,82.71,41.02
India,South America,Low,2022,16095,5012,442.48,5.16,80.72,552,1634,944707876,7094,5568,85.3,20.99,35.07,1.04,1.63,34.7,66.39,53.84
Brazil,North America,Low,2006,22563,7200,472.77,31.41,54.17,3526,9727,329912582,13685,6653,57.03,11.57,14.59,3.36,3.99,53.65,83.94,54.22
Nigeria,South America,Upper-Middle,2019,6700,1816,59.27,44.22,90.92,3875,1492,500440529,59878,8225,39.34,48.37,22.61,6.31,13.72,35.72,78.95,80.85
China,North America,Upper-Middle,2000,38664,3599,143.2,18.22,71.91,4558,268,367026929,13072,7302,85.46,5.63,11.28,4.87,3.53,67.82,77.77,61.79
USA,Africa,Low,2013,23877,2359,489.78,28.08,67.68,4509,463,1307927379,40748,7280,63.78,35.66,6.64,6.64,2.58,31.37,82.49,77.85
India,Asia,Lower-Middle,2023,13910,9684,142.51,32.46,93.0,1028,9000,1379773303,18069,149,53.86,44.61,31.07,7.64,3.5,95.8,79.57,83.84
India,Africa,Low,2003,46471,2026,349.43,21.32,69.72,1438,4480,598472897,17473,3955,60.61,6.13,9.37,4.86,1.71,97.65,58.18,59.62
USA,Asia,Lower-Middle,2016,4098,7230,134.19,45.26,82.45,4988,2521,424031574,4717,2392,72.38,37.63,5.9,9.87,5.4,51.33,92.85,39.98
Russia,Asia,Low,2020,11064,2540,184.62,18.78,79.48,584,4180,851406687,8148,8141,30.82,49.95,25.55,9.16,5.79,48.21,61.79,54.91
USA,South America,High,2013,46016,8967,103.73,7.13,57.43,1468,8443,814356684,18019,3283,80.54,33.78,5.47,0.69,10.22,37.31,86.48,79.56
India,Africa,Low,2015,31398,4431,429.59,8.06,94.6,1509,5146,377356364,46818,5074,87.17,23.66,20.27,2.74,9.06,93.34,58.65,60.85
India,North America,Low,2013,21098,6037,442.5,44.65,70.86,1501,1722,1059842000,32453,377,59.69,44.35,15.11,3.08,9.74,71.08,82.39,82.7
Nigeria,Africa,Upper-Middle,2015,40904,7475,155.49,49.41,67.77,3182,7436,635223289,20304,9593,67.76,29.94,16.18,1.92,12.51,72.71,93.89,82.68
Bangladesh,South America,Lower-Middle,2023,18362,3669,413.56,15.16,91.38,2480,2012,210894869,11250,2339,80.19,38.72,5.14,3.19,5.0,92.71,50.48,46.14
China,Asia,High,2019,10765,6110,185.54,8.04,73.82,3437,8161,1397363290,501,1415,46.24,31.45,38.75,4.31,3.13,93.76,98.0,51.37
USA,South America,Lower-Middle,2007,10205,8739,58.52,24.63,81.73,2525,6264,417402320,17775,1458,89.5,6.72,23.09,0.61,17.64,87.98,51.45,67.45
China,Europe,High,2023,26044,4026,381.46,35.77,88.08,3561,3337,405365017,8382,9752,67.64,14.59,25.04,1.36,12.86,84.14,50.56,27.77
USA,Europe,Low,2002,14798,754,302.26,31.01,60.6,4216,8698,615926757,46354,269,49.68,8.54,28.31,1.05,1.68,91.41,92.02,52.59
Indonesia,North America,Upper-Middle,2024,33170,5502,144.45,47.6,57.63,2210,8045,85110349,13248,6457,67.41,9.8,32.91,0.56,19.24,91.32,84.73,30.46
India,South America,Upper-Middle,2018,42971,6144,133.97,41.07,53.08,2974,3121,440663092,57714,3289,56.52,5.69,26.28,4.87,14.01,55.81,55.18,79.36
Bangladesh,North America,Lower-Middle,2000,46604,3731,488.06,43.58,90.37,3323,5251,645389771,33101,1319,27.81,23.95,31.68,3.4,3.46,98.14,95.93,85.99
Nigeria,North America,Upper-Middle,2001,41434,4188,432.63,27.54,59.02,2937,8928,953478020,28075,7592,75.71,13.04,20.71,9.36,19.4,79.64,82.92,29.91
Bangladesh,Europe,Lower-Middle,2014,49384,1966,406.8,17.04,63.85,691,1841,565252644,53205,3867,59.51,43.51,17.99,1.12,7.63,55.91,55.44,66.71
Bangladesh,North America,Lower-Middle,2021,6550,9616,72.73,35.39,62.86,4874,1831,1297782659,55721,7239,75.71,38.75,33.81,9.27,19.7,60.94,92.17,64.56
Bangladesh,Europe,High,2009,44452,7551,380.04,22.51,63.71,288,1826,561080438,49576,6907,30.84,30.79,35.29,0.96,2.51,78.1,73.56,73.21
China,Asia,Lower-Middle,2017,21534,1895,115.12,15.1,80.06,4468,101,707246334,32869,117,57.69,27.01,9.82,6.23,3.62,55.28,63.63,68.7
USA,South America,High,2021,45980,4704,488.92,8.46,92.94,1658,3442,1010045788,45117,9913,73.66,16.51,23.99,2.55,13.32,87.86,90.43,35.2
Pakistan,North America,Upper-Middle,2013,8984,6463,35.52,26.87,64.83,4706,1979,512075372,58815,8984,89.18,26.37,28.93,8.29,0.93,40.36,86.18,40.38
Indonesia,Europe,Lower-Middle,2016,31823,8161,182.55,30.12,68.34,1168,2394,153518275,15817,7275,81.91,33.86,7.93,0.71,0.86,93.53,80.53,31.57
Brazil,Africa,Lower-Middle,2012,21296,8040,220.04,28.87,84.7,2351,3689,76991537,56609,5433,80.5,40.2,37.54,9.53,15.94,51.08,94.03,84.48
Bangladesh,North America,Low,2000,29569,9678,413.86,6.71,69.46,1528,612,579723313,45609,2062,37.32,8.68,23.2,0.57,3.77,40.69,92.2,56.53
Russia,Asia,Lower-Middle,2004,22327,3140,385.45,28.93,91.67,1848,437,703172737,28818,9947,78.66,36.88,27.59,2.49,18.42,90.06,61.11,88.33
China,Asia,Lower-Middle,2012,35861,1420,193.75,9.25,72.64,880,9658,711330134,47046,9688,31.85,38.42,11.24,4.7,8.8,46.76,93.06,51.45
Nigeria,Africa,Low,2024,10815,1978,287.12,33.52,65.65,3287,8208,1028247763,37472,3119,33.87,30.15,14.26,7.58,17.54,89.04,68.33,58.69
Brazil,Europe,Low,2013,48468,1686,419.44,22.04,93.72,1351,6273,422477299,41739,7716,27.71,14.64,9.24,9.52,8.65,50.74,71.16,75.25
Pakistan,North America,Upper-Middle,2023,27019,6230,18.92,42.59,69.16,2316,2444,147415697,22668,340,80.03,29.26,14.24,4.34,10.84,95.37,97.64,75.81
Russia,Europe,Lower-Middle,2002,9607,8333,403.07,39.14,60.4,1181,1383,1120661690,18582,6362,27.58,27.62,22.23,7.6,6.67,45.34,87.23,36.18
Pakistan,Asia,Upper-Middle,2014,4369,1893,473.98,36.49,58.0,4082,8842,1297708774,11579,7777,29.67,26.41,34.18,7.3,13.33,34.88,65.75,40.18
Brazil,Europe,Upper-Middle,2018,15947,8426,25.71,35.34,94.78,1138,5172,734460967,3384,3729,37.21,25.73,23.68,5.75,6.7,95.56,81.75,26.85
Bangladesh,Asia,Low,2016,27870,9813,32.33,28.46,83.88,3637,6850,558676503,28361,3960,60.09,9.99,13.56,6.94,4.85,41.59,76.43,76.38
Russia,Europe,High,2002,8471,881,178.81,3.99,68.39,4009,3821,152830621,36847,4701,81.61,13.23,6.56,0.48,2.08,96.09,55.71,75.57
Pakistan,Africa,Upper-Middle,2015,31769,5588,53.01,33.12,87.19,3897,3316,335148928,7695,402,49.28,9.38,26.77,4.47,1.62,87.68,93.5,25.69
Nigeria,South America,High,2013,26151,5365,244.85,23.88,74.61,1294,8647,350215516,2751,1313,58.24,15.91,19.71,7.88,6.47,35.73,90.27,38.02
USA,Africa,Lower-Middle,2011,36257,8505,367.07,24.01,64.28,580,8714,1196034984,5140,1876,31.65,16.86,39.45,4.79,14.86,61.16,88.11,51.49
India,Africa,Low,2011,23946,5377,287.78,19.57,83.45,2874,9191,563325310,19240,4428,38.62,16.03,32.29,8.75,4.51,35.14,77.4,57.92
USA,South America,Lower-Middle,2010,38608,1336,106.25,46.52,83.57,3994,6366,588785281,49261,1655,29.37,14.49,33.29,8.35,6.33,53.09,60.82,56.58
Brazil,South America,Lower-Middle,2016,10143,1579,330.86,13.22,72.51,3151,1411,978584751,13315,3448,48.69,38.09,5.43,8.65,18.15,54.61,93.31,88.82
China,North America,Low,2007,4323,6705,345.58,16.51,52.03,1987,555,768525731,43391,4601,61.32,41.84,32.22,1.39,12.96,71.97,67.3,73.49
India,North America,Lower-Middle,2016,13954,1927,466.9,48.19,53.47,456,2543,1063250924,53066,3056,39.88,19.72,11.81,2.52,18.43,98.31,50.99,27.92
Indonesia,Africa,Low,2020,4432,9991,81.93,40.7,85.49,4888,2019,671748048,42468,1054,79.22,18.73,25.5,0.39,18.27,41.88,98.11,40.55
Nigeria,Africa,High,2024,10720,5481,349.24,1.69,87.06,1290,5911,730972906,30413,6017,88.69,42.98,20.66,9.83,1.74,53.04,92.2,44.18
Indonesia,Asia,Lower-Middle,2022,9054,9439,456.6,45.4,80.52,646,4095,1059677313,13404,6478,28.41,33.08,25.01,2.44,19.12,71.1,80.51,42.06
Russia,Asia,Low,2019,2929,2528,255.77,12.11,87.76,2983,2225,790913667,55360,2128,21.25,18.2,9.67,3.73,1.5,42.0,50.61,75.02
India,North America,Upper-Middle,2010,28708,150,187.28,35.59,82.38,4636,4995,1029486177,18962,2545,75.28,37.11,20.99,2.82,18.55,79.75,61.16,45.24
Indonesia,North America,Lower-Middle,2024,7944,3137,93.67,28.1,90.36,128,9029,412666582,53847,2311,33.34,20.51,6.29,0.49,11.16,58.26,72.15,54.47
Indonesia,Asia,High,2024,11010,5878,434.73,27.3,56.77,4171,2194,367756741,35982,1787,44.72,31.4,6.43,2.69,10.9,96.47,80.78,57.34
Pakistan,Asia,Low,2001,44545,7475,203.18,36.18,67.45,2302,1285,233937231,7447,3146,47.6,49.67,28.02,1.07,14.41,74.09,84.7,38.93
USA,Europe,Lower-Middle,2009,11037,2341,463.19,11.15,70.88,2114,9718,1368257837,1838,7977,84.16,18.57,38.31,4.0,17.64,55.42,88.63,42.59
Pakistan,Europe,Lower-Middle,2009,7647,5517,425.4,8.79,63.39,1077,9514,1198710923,13282,2494,66.12,46.87,32.21,9.67,12.53,80.36,77.23,74.6
India,Asia,Lower-Middle,2010,40899,8346,194.55,32.94,82.64,433,5178,348342866,20573,386,22.84,19.43,21.42,7.01,8.8,88.71,82.15,80.67
India,Europe,High,2005,4098,743,291.22,15.24,91.06,3829,3533,737327714,7114,3033,21.04,29.31,6.96,7.1,2.68,86.03,89.75,22.6
Brazil,South America,Low,2003,37597,5836,23.32,48.72,68.56,4500,8717,300482352,1241,9209,33.97,25.7,6.58,4.59,15.89,48.39,85.27,62.36
Pakistan,North America,Upper-Middle,2023,7218,5456,138.98,23.12,92.37,1290,4793,323807814,30710,7048,42.27,40.24,10.53,8.13,3.0,59.19,96.79,64.34
South Africa,North America,Upper-Middle,2011,43191,3541,358.03,6.47,73.25,1829,1029,629066852,1233,5048,53.92,7.75,39.15,9.09,14.66,61.65,92.86,71.61
USA,Asia,Upper-Middle,2010,14282,3442,342.18,34.6,73.51,3442,9497,246556888,14444,8913,78.65,33.22,18.95,9.62,10.79,57.19,58.3,68.57
India,Africa,Low,2022,49744,2318,183.15,16.0,77.01,772,7608,76461364,57491,9545,42.04,39.23,34.52,1.08,8.02,51.76,96.42,81.42
Brazil,Asia,Upper-Middle,2022,551,5682,406.22,8.28,62.07,1639,1059,1227591481,2306,8237,46.36,26.25,29.68,8.81,12.45,82.69,60.0,25.49
Pakistan,Europe,High,2024,17202,3833,125.56,21.72,67.25,452,2350,1227024050,13785,9956,43.05,9.74,26.19,2.33,15.56,30.86,98.57,47.19
USA,Africa,Low,2012,10684,9131,236.02,48.25,74.9,3024,7583,220045416,43838,2645,20.63,16.02,38.17,4.03,18.85,50.55,84.37,74.75
Pakistan,Europe,Lower-Middle,2004,12968,6023,241.54,21.16,92.39,2591,9459,478071933,11957,3020,86.86,35.59,13.06,3.52,5.66,39.91,80.75,79.26
Indonesia,South America,High,2005,22572,6019,177.0,18.02,78.92,1507,2288,1354525928,2253,3319,29.73,45.29,20.92,6.78,18.97,39.01,65.89,38.53
